key,en,zh-Hans
global_goals:17-short,Partnerships for the goals,促进目标现实的伙伴关系
global_goals:2-short,Zero hunger,零饥饿
global_goals:3-short,Good health and well-being,良好健康与福祉
global_goals:4-short,Quality education,优质教育
global_goals:5-short,Gender equality,性别平等
global_goals:6-short,Clean water and sanitation,清洁饮水和卫生设施
global_goals:7-short,Affordable and clean energy,经济适用的清洁能源
global_goals:8-short,Decent jobs and economic growth,体面工作和经济增长
global_goals:9-short,"Industry, innovation and infrastructure",创业、创新和基础设施
indicator:select_all,Select all,全选
indicator:clear_all,Clear all,全部清除
indicator:clear_selections,Clear selections,清除选项
indicator:variable_hint,Available when '%field' is selected,点击以便显示內容
indicator:no_data_hint,No options available because of filters above,由于上述筛选的限制，因此没有可用的选项
indicator:download_headline,Download Headline CSV,下载CSV格式的标题
indicator:download_headline_title,Download headline data as CSV,下载为CSV格式的标题数据
indicator:download_source,Download Source CSV,下载CSV格式的来源
indicator:download_source_title,Download source data as CSV,下载为CSV格式的资源数据
indicator:download_chart,Download Chart CSV,下载CSV格式的图表
indicator:download_table,Download Table CSV,下载CSV格式的表格
indicator:download_csv,Download CSV,下载CSV
indicator:download_csv_title,Download as CSV,下载为CSV格式
indicator:download_chart_image,Download Chart Image,下载图表图像
indicator:download_chart_image_title,Download chart as image,下载图表作为图像
indicator:download_geojson,Download GeoJSON,下载GeoJSON
indicator:download_geojson_title,Download as GeoJSON,下载为GeoJSON格式
indicator:source,Source,来源
indicator:sources,Sources,来源
indicator:geographical_area,Geographical Area,地理区域
indicator:unit_of_measurement,Unit of Measurement,计量单位
indicator:footnote,Footnote,脚注
indicator:units_type,Units type,单位类型
indicator:series,Series,系列
indicator:dataset_size_warning,There are too many datasets to show on the chart. Not all will be shown until you remove some selections.,由于图表上显示的数据集过多，请删除一些选项来以便展示。
indicator:view_indicator_list,View this goal's indicator list,查看此目标的指标清单
indicator:sub_categories,Sub-categories,子分类
indicator:series_help,Choose categories from the dropdowns below to see different breakdowns of the data. Some will not be available until a higher level is chosen.,从下面的下拉式菜单中选择分类查询不同的数据分析。部分分析需要选择更高的级别才会开放。
indicator:legend_help,Click on the legend to remove individual lines from the chart.,点击图例来移除图表中的线条。
indicator:chart,Chart,图表
indicator:table,Table,表格
indicator:map,Map,地图
indicator:loading,Loading,正在加载
indicator:loading_map,Loading map,载入地图
indicator:national_metadata,National Metadata,国家元数据
indicator:national_metadata_blurb,"This table provides metadata for the actual indicator available from %country_name statistics closest to the corresponding global SDG indicator. Please note that even when the global SDG indicator is fully available from %country_adjective statistics, this table should be consulted for information on national methodology and other %country_adjective-specific metadata information.",此表格所提供的真正指标中的元数据可从接近相对的全球可持续发展目标指标的国家统计数据获得。请注意：全球可持续发展目标指标完全可从国家统计数据获得，此表格资料皆只用作参阅国家方法论及其他国家的元数据用途。
indicator:global_metadata,Global Metadata,全球元数据
indicator:global_metadata_blurb,"This table provides information on metadata for SDG indicators as defined by the UN Statistical Commission. <a href=""https://unstats.un.org/sdgs/metadata/"">Complete global metadata</a> is provided by the UN Statistics Division.",此表格提供的资料是由联合国统计委员会所界定的可持续发展目标指标的元数据。完整的全球元数据是由联合国统计司提供的。
indicator:edit,Edit,编辑
indicator:edit_data,Edit Data,编辑数据
indicator:edit_metadata,Edit Metadata,编辑元数据
frontpage:instructions,"Click on each goal, or %before_link search, %after_link for %name statistics for Sustainable Development Goal global indicators.",点击每一个目标查询或自行%before_link搜索%after_link各个国家的可持续发展目标全球指标统计。
frontpage:heading,%name data for Sustainable Development Goal indicators,%name可持续发展目标指标的数据
frontpage:download_all,Download all data,下载所有数据
frontpage:zip_file,ZIP file,ZIP文件
frontpage:intro_title,17 goals to transform our world,改变世界的17个目标
frontpage:intro_body,"The <a href=""https://www.un.org/sustainabledevelopment/sustainable-development-goals/"">Sustainable Development Goals (SDGs)</a> are a universal call to action to end poverty, protect the planet and improve the lives and prospects of everyone, everywhere. The 17 Goals were adopted by all UN Member States in 2015, as part of the <a href=""http://www.un.org/ga/search/view_doc.asp?symbol=A/RES/70/1&Lang=E"">2030 Agenda for Sustainable Development</a>.","<a href=""https://www.un.org/sustainabledevelopment/zh"">可持续发展目标</a>是消除贫困，保护地球和 改善世界各地每个人的生活和前景。 作为<a href=""https://www.un.org/ga/search/view_doc.asp?symbol=A/RES/70/1&Lang=C""> 2030年可持续发展议程</a>。"
post:posts_by_category,Posts by Category,按分类发布的帖子
post:view_all_in_category,View all posts in the %category_name category,显示此分类的所有帖子
status:reporting_status,Reporting Status,上报状况
status:overall_reporting_status,Overall Reporting Status,整体上报状况
status:reported_online,Reported online,已在线上上报
status:statistics_in_progress,Statistics in progress,统计在进行中
status:exploring_data_sources,Exploring data sources,探索数据源
status:not_applicable,Not applicable,不适用
status:status_by_goal,Status by goal,目标状况
status:status_by_field,Status by %field,状态%field
calendar:January,January,一月
calendar:February,February,二月
calendar:March,March,游行
calendar:April,April,四月
calendar:May,May,可以
calendar:June,June,六月
calendar:July,July,七月
calendar:August,August,八月
calendar:September,September,九月
calendar:October,October,十月
calendar:November,November,十一月
calendar:December,December,十二月
